Hybridization REF,BRCA1,BRCA2,PALB2,CHEK2,CDH1,PTEN,STK11,TP53,ATM,BARD1,BRIP1,CASP8,CTLA4,CYP19A1,FGFR2,LSP1,MAP3K1,MRE11A,NBN,RAD51,TERT,CANCER
TCGA-AO-A0JF-01A-11R-A056-07,-2.07175,-2.2185,-1.16275,-1.305125,1.826166667,1.606857143,0.21125,-0.1083333333,-1.991545455,-0.9648333333,-2.983833333,-0.9618,-0.6285,-0.132375,-0.1285625,0.8645,0.731,-0.6852857143,0.77775,-2.666833333,-2.593,1
TCGA-E2-A14W-01A-11R-A12D-07,-0.6776666667,-3.31075,-1.359,-0.851375,2.349916667,0.8881428571,0.786375,-0.8066666667,-1.642818182,-0.7946666667,-1.698833333,-0.8261,-0.413,-3.830142857,-0.7165,0.562375,1.098,-0.1096923077,1.002,-2.951166667,-1.48,1
TCGA-BH-A0DT-11A-12R-A12D-07,-2.131916667,-3.803,-0.84725,-1.29725,2.337833333,1.451785714,-1.084625,-0.887666667,-1.82,-1.109833333,-4.438666667,-0.516,0.848,-3.539,2.1353125,0.63375,0.8815,-0.0905,0.849875,-3.624166667,-1.319,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-1.06175,-1.359,1.054833333,1.916357143,-0.00025,-0.4115,-1.761083333,-1.992,-4.104333333,-1.2276,-0.0425,-2.820142857,1.7630625,0.9685,0.8385,0.031071429,0.384375,-3.935,-1.6365,0
TCGA-A8-A07S-01A-11R-A034-07,-0.9421666667,-0.863,-0.17925,-0.551625,1.85475,1.313428571,0.467375,-0.3773333333,-0.983,-0.2523333333,-1.883333333,-0.4132,-0.332,-2.044875,2.400375,0.534375,1.5555,-0.4003076923,0.80625,-1.530833333,-1.6015,1
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-1.002,-1.614625,1.55675,2.319642857,-0.86425,-0.855666667,-1.580363636,-1.651166667,-3.552666667,-0.3171,0.031,-1.181285714,1.5868125,1.500125,-1.066,-0.360727273,0.619375,-3.8635,-0.2865,0
TCGA-AO-A0JE-01A-11R-A056-07,-0.9246666667,-0.535,0.436,-0.5735,2.691166667,1.1375,0.266,-0.1441666667,-1.4605,-0.3315,-1.38,-0.3093,1.8725,-1.367875,0.4048125,0.9835,1.2735,-0.1396428571,0.452375,-0.89,-2.264,1
TCGA-BH-A18P-01A-11R-A12D-07,-1.5235,-1.259,-0.9415,-1.234,-1.04775,0.8826428571,0.297,-0.5811666667,-2.251083333,0.1068333333,-2.474333333,-1.2439,0.4995,-2.876,1.0193125,0.103875,0.544,-0.531,0.36825,-0.8785,-1.313,1
TCGA-A8-A076-01A-21R-A00Z-07,-1.898416667,-0.748,-0.75925,-1.39675,3.199,0.6672142857,0.315625,-0.5108333333,-1.404666667,0.472,-1.173,-1.0371,0.15,-3.321142857,-0.12675,0.496375,0.2265,-0.1593846154,1.604375,-1.6955,-1.751,1
TCGA-BH-A0H9-11A-22R-A089-07,-1.72325,-0.39075,-0.77625,-1.533125,-5.41275,1.667214286,0.334875,-0.414333333,-0.607583333,-1.3595,-1.6318,-1.5465,0.219,-0.150875,0.103625,-0.41975,0.967,-0.007071429,0.71875,-3.784166667,-0.433,0
TCGA-BH-A0DQ-11A-12R-A089-07,-2.23775,-2.17525,-1.07925,-1.34075,2.463916667,1.413714286,0.101625,0.009666667,-0.973416667,-0.942333333,-2.863166667,-1.2086,-0.462,-2.36725,2.311375,0.20875,1.8455,-0.0595,0.3635,-3.7295,-2.055,0
