Hybridization REF,BRCA1,BRCA2,TP53,CANCER
TCGA-AO-A0JF-01A-11R-A056-07,-2.07175,-2.2185,-0.1083333333,1
TCGA-E2-A14W-01A-11R-A12D-07,-0.6776666667,-3.31075,-0.8066666667,1
TCGA-BH-A0DT-11A-12R-A12D-07,-2.131916667,-3.803,-0.887666667,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-A8-A07S-01A-11R-A034-07,-0.9421666667,-0.863,-0.3773333333,1
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-AO-A0JE-01A-11R-A056-07,-0.9246666667,-0.535,-0.1441666667,1
TCGA-BH-A18P-01A-11R-A12D-07,-1.5235,-1.259,-0.5811666667,1
TCGA-A8-A076-01A-21R-A00Z-07,-1.898416667,-0.748,-0.5108333333,1
TCGA-BH-A0H9-11A-22R-A089-07,-1.72325,-0.39075,-0.414333333,0
TCGA-BH-A0DQ-11A-12R-A089-07,-2.23775,-2.17525,0.009666667,0
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.562333333,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-AQ-A04L-01B-21R-A10J-07,-1.769583333,-1.98075,-0.6336666667,1
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-BH-A0B0-01A-21R-A115-07,-2.551083333,-1.468,0.808,1
TCGA-BH-A0H9-11A-22R-A089-07,-1.72325,-0.39075,-0.414333333,0
TCGA-B6-A0WY-01A-11R-A109-07,-1.5505,-0.8585,0.03566666667,1
TCGA-BH-A18J-01A-11R-A12D-07,-1.63075,-0.565,-0.1626666667,1
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.245333333,0
TCGA-A2-A0SW-01A-11R-A084-07,-1.669833333,-1.00625,-0.567,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-0.866166667,0
TCGA-AR-A0TY-01A-12R-A115-07,-1.504916667,0.427,0.2143333333,1
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,0.369333333,0
TCGA-A7-A0CH-01A-21R-A00Z-07,-1.514666667,-1.965,0.07533333333,1
TCGA-AN-A0AT-01A-11R-A034-07,-3.0265,1.74175,-2.418166667,1
TCGA-A8-A094-01A-11R-A00Z-07,-1.786166667,-0.0405,-1.739833333,1
TCGA-C8-A12M-01A-11R-A115-07,-2.00575,-1.74875,1.126166667,1
TCGA-BH-A1EU-11A-23R-A137-07,-2.476083333,-3.692,-0.347,0
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.562333333,0
TCGA-AO-A12E-01A-11R-A10J-07,-0.62,-0.726,-0.5393333333,1
TCGA-E2-A150-01A-11R-A12D-07,-1.44975,-1.16125,-1.6245,1
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-A2-A0EQ-01A-11R-A034-07,-0.87825,0.29075,0.1613333333,1
TCGA-AO-A0J7-01A-11R-A034-07,-0.4470833333,-0.36875,0.3025,1
TCGA-A8-A08P-01A-11R-A00Z-07,-0.9535833333,-0.98525,-1.433833333,1
TCGA-A7-A0CE-11A-21R-A089-07,-2.149,-1.93275,-0.974666667,0
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.376166667,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-E2-A15S-01A-11R-A115-07,-0.8308333333,-1.17775,-0.463,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.5295833333,-1.47725,-0.3126666667,1
TCGA-AN-A0AM-01A-11R-A034-07,-1.418916667,0.0425,-0.5353333333,1
TCGA-A8-A06N-01A-12R-A056-07,-1.10125,-1.229,-0.9928333333,1
TCGA-BH-A0B7-11A-34R-A115-07,-2.439083333,-2.6525,0.4265,0
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,0.369333333,0
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.446833333,0
TCGA-BH-A18N-11A-43R-A12D-07,-2.244583333,-2.40275,-1.431333333,0
TCGA-AO-A03M-01B-11R-A10J-07,-1.527666667,-0.4615,-1.3695,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-BH-A0B8-11A-41R-A089-07,-2.463083333,-3.7165,-0.742666667,0
TCGA-AO-A0JJ-01A-11R-A056-07,-0.975,-1.235,-0.3288333333,1
TCGA-E2-A153-11A-31R-A12D-07,-0.627,-2.07,-0.289333333,0
TCGA-BH-A0E0-01A-11R-A056-07,-0.9785833333,-2.108,0.3815,1
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A8-A06O-01A-11R-A00Z-07,-0.1266666667,-1.104,-0.4921666667,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-B6-A0X1-01A-11R-A109-07,-0.3098333333,0.379,-1.989833333,1
TCGA-E2-A10E-01A-21R-A10J-07,-1.17425,-1.28325,0.09283333333,1
TCGA-B6-A0X0-01A-21R-A115-07,-1.400666667,-1.049,1.484833333,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.161166667,0
TCGA-A2-A0CY-01A-12R-A034-07,-1.94125,-0.9485,0.2508333333,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.242666667,0
TCGA-B6-A0IG-01A-11R-A034-07,0.5180833333,0.641,-0.5126666667,1
TCGA-BH-A0B3-11B-21R-A089-07,-2.307833333,-1.91125,-0.216166667,0
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-BH-A0BM-11A-12R-A089-07,-1.896166667,-1.93175,-0.159833333,0
TCGA-BH-A0W3-01A-11R-A109-07,-0.4813333333,-0.47575,-0.5306666667,1
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,0.145666667,0
TCGA-BH-A0BQ-11A-33R-A115-07,-1.88375,-1.29425,0.3355,0
TCGA-AR-A1AV-01A-21R-A12P-07,-1.716833333,-0.92925,0.59,1
TCGA-B6-A0RM-01A-11R-A084-07,-1.1735,-0.35475,0.1688333333,1
TCGA-A2-A0YC-01A-11R-A109-07,-0.966,-0.852,-0.5703333333,1
TCGA-BH-A18P-11A-43R-A12D-07,-2.626166667,-2.62725,-0.844333333,0
TCGA-BH-A0BD-01A-11R-A034-07,-0.9085,0.136,0.1605,1
TCGA-A8-A08T-01A-21R-A00Z-07,-1.917833333,-2.659,0.5411666667,1
TCGA-E2-A10B-01A-11R-A10J-07,-1.406583333,-0.92125,-0.4528333333,1
TCGA-E2-A15I-11A-32R-A137-07,-2.527916667,-3.1455,-0.628666667,0
TCGA-BH-A18M-11A-33R-A12D-07,-2.723363636,-2.3495,-0.640166667,0
TCGA-BH-A0AY-11A-23R-A089-07,-2.202916667,-2.31275,-0.382,0
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,0.145666667,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.245333333,0
TCGA-BH-A18G-01A-11R-A12D-07,-1.996833333,-1.2155,-0.2665,1
